state,metric,stand_size_class,estimate,se,se_percent,plot_count,report_years
SC,volume,Nonstocked,1668179.5229935749,881684.4368494046,52.85309073133854,5,2017;2018;2019;2020;2021;2022;2023;2024;2025
SC,mortality,Large diameter,306616391.6206333,14645744.4139522,4.77656929446646,1081,2017;2018;2019;2020;2021;2022;2023;2024;2025
SC,mortality,Medium diameter,45085363.00097205,4302013.665556428,9.541929751045092,297,2017;2018;2019;2020;2021;2022;2023;2024;2025
SC,mortality,Small diameter,24038433.36604781,5004995.870886887,20.82080722430109,93,2017;2018;2019;2020;2021;2022;2023;2024;2025
SC,mortality,Nonstocked,245722.95689475755,245798.7856176417,100.03085943773524,1,2017;2018;2019;2020;2021;2022;2023;2024;2025
SC,biomass,Large diameter,617030222.4107342,12264133.834745755,1.987606666466003,1760,2017;2018;2019;2020;2021;2022;2023;2024;2025
SC,biomass,Medium diameter,119973840.25103164,5193325.739054194,4.328715100048268,685,2017;2018;2019;2020;2021;2022;2023;2024;2025
SC,biomass,Small diameter,30669905.83473954,1876824.3860418908,6.119433154294292,531,2017;2018;2019;2020;2021;2022;2023;2024;2025
SC,biomass,Nonstocked,29084.840303302288,15449.556734105252,53.11893265699352,6,2017;2018;2019;2020;2021;2022;2023;2024;2025
SC,growth,Large diameter,1071392033.7881138,32720946.320508912,3.0540591388212657,1747,2017;2018;2019;2020;2021;2022;2023;2024;2025
SC,growth,Medium diameter,503315142.411172,26053435.13425787,5.176366244307051,682,2017;2018;2019;2020;2021;2022;2023;2024;2025
SC,growth,Small diameter,138592620.17293355,9588683.168447344,6.918610209174736,571,2017;2018;2019;2020;2021;2022;2023;2024;2025
SC,growth,Nonstocked,2539748.4815148003,847487.2723346611,33.368944936987944,20,2017;2018;2019;2020;2021;2022;2023;2024;2025
SC,removals,Large diameter,263254281.89308417,22696537.99751839,8.621526622209384,256,2017;2018;2019;2020;2021;2022;2023;2024;2025
SC,removals,Medium diameter,42780903.88087408,8809268.134725079,20.591589554196887,55,2017;2018;2019;2020;2021;2022;2023;2024;2025
SC,removals,Small diameter,666467427.703884,50631729.190742426,7.597029815122255,249,2017;2018;2019;2020;2021;2022;2023;2024;2025
SC,removals,Nonstocked,27960525.113999225,10035246.849268436,35.890766744734734,16,2017;2018;2019;2020;2021;2022;2023;2024;2025
SC,sawlog,Large diameter,101118609789.66264,2379804148.097509,2.353477913756679,1713,2017;2018;2019;2020;2021;2022;2023;2024;2025
SC,sawlog,Medium diameter,5574845782.728483,320421524.1776545,5.747630278318325,510,2017;2018;2019;2020;2021;2022;2023;2024;2025
SC,sawlog,Small diameter,1768363482.109023,208395608.5567812,11.78465913061267,153,2017;2018;2019;2020;2021;2022;2023;2024;2025
